Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TO_Att,TO_Succ,TO_Succ%,TO_Tkld,TO_Tkld%,Carries,TotDist,PrgDist,PrgC,Carry1/3,Carry_PA,Mis,Dis,Pass_Rec,Pass_PrgR
Ben Cremaschi,us USA,"MF,FW",Inter Miami,20-064,2005,6.5,311,4,49,137,128,17,311,16,7,43.8,9,56.3,178,726,284,9,6,3,11,7,202,38,Matches
Maxime Crépeau,ca CAN,GK,Portland Timbers,30-359,1994,2.0,86,68,86,0,0,0,86,0,0,,0,,39,180,107,0,0,0,0,0,42,0,Matches
Andrés Cubas,py PAR,MF,Vancouver W'caps,28-348,1996,7.9,497,16,119,314,66,4,497,5,1,20.0,4,80.0,265,852,284,2,5,1,10,9,326,7,Matches
Mauricio Cuevas,us USA,"MF,DF",LA Galaxy,22-084,2003,0.3,41,1,3,9,29,3,41,1,0,0.0,1,100.0,20,66,17,0,0,0,0,2,28,14,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Christopher Cupps,us USA,DF,Chicago Fire,16-344,2008,1.2,68,12,36,32,0,0,68,0,0,,0,,40,161,82,0,0,0,0,0,44,0,Matches
Hugo Cuypers,be BEL,FW,Chicago Fire,28-087,1997,9.9,311,10,29,153,133,41,310,15,4,26.7,9,60.0,156,797,354,13,9,5,32,3,189,47,Matches
Bruno Damiani,uy URU,FW,Philadelphia Union,23-017,2002,5.3,258,9,21,112,127,31,258,6,1,16.7,5,83.3,133,459,110,3,5,1,23,9,179,27,Matches
Dagur Dan Þórhallsson,is ISL,"MF,DF",Orlando City,25-003,2000,4.4,235,7,72,115,51,2,235,12,8,66.7,4,33.3,104,486,167,5,2,1,2,4,141,15,Matches
Daniel,br BRA,GK,SJ Earthquakes,30-364,1994,9.2,299,249,295,4,0,0,299,0,0,,0,,170,916,472,0,0,0,1,0,98,0,Matches
Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,26-020,1999,0.9,56,0,13,32,12,1,56,2,1,50.0,1,50.0,20,83,24,0,1,0,2,0,24,1,Matches
Héctor David Martínez,py PAR,"DF,FW",Inter Miami,27-104,1998,1.1,97,9,44,51,5,4,97,0,0,,0,,55,210,130,1,0,0,2,0,58,1,Matches
Juan David Mosquera,co COL,DF,Portland Timbers,22-242,2002,5.8,363,19,96,184,89,8,363,8,4,50.0,4,50.0,216,1190,722,19,11,3,8,1,217,26,Matches
Bode Davis,us USA,DF,Real Salt Lake,23-072,2002,5.8,464,18,162,234,69,5,464,1,1,100.0,0,0.0,262,1070,652,13,10,2,5,3,310,12,Matches
Jake Davis,us USA,"DF,MF",Sporting KC,23-122,2002,8.0,578,19,98,286,198,15,578,11,6,54.5,4,36.4,308,1428,712,19,14,4,9,2,377,37,Matches
Pedro De la Vega,ar ARG,"MF,FW",Seattle Sounders,24-087,2001,3.9,205,1,19,87,103,12,205,18,7,38.9,10,55.6,130,722,265,10,12,1,7,7,151,20,Matches
Osaze De Rosario,gy GUY,FW,Seattle Sounders,23-290,2001,0.1,3,0,0,1,2,1,3,0,0,,0,,4,19,11,0,0,0,0,0,5,0,Matches
Jonathan Dean,us USA,DF,Chicago Fire,27-355,1997,4.3,248,21,84,106,60,5,248,4,3,75.0,1,25.0,101,392,189,6,3,2,3,2,132,23,Matches
Marky Delgado,us USA,MF,LAFC,29-354,1995,8.2,679,20,120,388,177,9,679,7,4,57.1,2,28.6,402,1582,645,10,11,0,11,5,488,28,Matches
Patrickson Delgado,ec ECU,"FW,MF",FC Dallas,21-200,2003,3.3,186,3,35,111,45,6,186,7,5,71.4,2,28.6,103,592,312,10,8,1,6,4,138,11,Matches
Kévin Denkey,tg TOG,FW,FC Cincinnati,24-156,2000,9.2,310,6,22,145,148,39,308,13,6,46.2,7,53.8,176,1036,473,19,13,5,36,19,229,58,Matches
Mikkel Desler,dk DEN,DF,Austin,30-075,1995,2.6,168,6,44,83,41,4,168,4,1,25.0,3,75.0,94,534,210,6,3,1,4,0,101,9,Matches
Djibril Diani,fr FRA,MF,Charlotte,27-083,1998,2.4,145,11,46,66,34,4,145,1,0,0.0,1,100.0,76,329,139,5,0,2,2,3,88,11,Matches
Jefferson Díaz,co COL,DF,Minnesota Utd,24-151,2000,6.7,317,29,113,134,70,19,317,7,6,85.7,0,0.0,126,478,243,3,0,1,9,6,167,7,Matches
Luis Díaz,cr CRC,"FW,MF",NE Revolution,26-150,1998,1.0,63,3,12,18,34,8,63,7,0,0.0,5,71.4,39,247,105,2,3,1,7,0,37,15,Matches
Hamady Diop,sn SEN,DF,San Diego FC,22-333,2002,2.2,225,8,60,134,32,0,225,3,1,33.3,1,33.3,142,668,385,4,3,0,3,1,166,2,Matches
Innocent Dje,ci CIV,MF,Chicago Fire,22-000,2003,1.1,89,2,39,43,8,0,89,4,1,25.0,3,75.0,50,323,174,1,1,0,3,2,59,2,Matches
Derek Dodson,us USA,"DF,MF",D.C. United,26-183,1998,2.0,121,7,26,59,36,7,121,3,3,100.0,0,0.0,45,175,70,2,1,1,1,4,62,10,Matches
Maxime Dominguez,ch SUI,MF,Toronto FC,29-093,1996,1.4,68,1,9,31,30,5,68,6,1,16.7,5,83.3,35,278,156,7,4,1,4,3,44,6,Matches
Ronald Donkor,ml MLI,MF,NY Red Bulls,20-166,2004,1.1,60,2,19,32,9,0,60,4,3,75.0,1,25.0,33,176,56,1,1,0,0,2,35,1,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Christopher Donovan,us USA,FW,Philadelphia Union,24-270,2000,1.5,87,1,6,38,44,10,87,4,2,50.0,2,50.0,50,238,95,6,1,3,8,6,62,16,Matches
Griffin Dorsey,us USA,DF,Houston Dynamo,26-061,1999,10.9,527,17,129,178,222,35,527,9,7,77.8,1,11.1,288,1757,946,42,20,9,17,7,337,90,Matches
C.J. dos Santos,us USA,GK,San Diego FC,24-254,2000,11.0,402,329,392,10,0,0,402,0,0,,0,,238,815,446,0,0,0,0,1,243,0,Matches
Hassani Dotson,us USA,MF,Minnesota Utd,27-272,1997,4.1,157,8,48,86,25,3,157,4,2,50.0,2,50.0,59,172,81,1,1,1,6,2,79,8,Matches
Souleyman Doumbia,ci CIV,DF,Charlotte,28-223,1996,3.5,233,20,105,117,13,0,233,6,3,50.0,2,33.3,140,662,391,11,4,0,1,2,147,7,Matches
Anders Dreyer,dk DEN,FW,San Diego FC,27-003,1998,10.6,550,1,47,208,298,64,550,14,7,50.0,7,50.0,305,1460,699,27,13,14,17,7,430,97,Matches
Nicolás Dubersarsky,ar ARG,MF,Austin,20-135,2004,0.8,55,6,17,31,10,1,55,2,1,50.0,1,50.0,36,147,78,2,0,1,1,1,35,2,Matches
Erik Duenas,us USA,"MF,FW",Houston Dynamo,20-199,2004,0.8,39,1,6,23,11,4,39,2,0,0.0,2,100.0,24,158,86,4,2,3,2,4,27,7,Matches
Morris Duggan,de GER,DF,Minnesota Utd,24-193,2000,6.4,262,61,163,77,23,13,262,1,0,0.0,1,100.0,95,402,223,2,0,1,1,1,107,3,Matches
Bryce Duke,us USA,"MF,FW",CF Montréal,24-066,2001,4.7,236,3,26,103,107,10,236,8,2,25.0,5,62.5,109,538,247,7,7,3,2,3,156,28,Matches
Kyle Duncan,us USA,DF,NY Red Bulls,27-270,1997,2.0,123,7,28,47,48,1,123,0,0,,0,,57,250,89,1,1,0,2,2,61,11,Matches
Chris Durkin,us USA,"MF,FW",St. Louis,25-086,2000,3.8,176,15,53,90,33,4,176,1,1,100.0,0,0.0,83,289,121,1,1,1,3,0,105,13,Matches
Jeremy Ebobisse,us USA,FW,LAFC,28-080,1997,2.8,76,2,4,33,39,9,76,2,2,100.0,0,0.0,38,178,73,4,2,0,7,3,61,10,Matches
Daniel Edelman,us USA,MF,NY Red Bulls,22-007,2003,6.9,465,19,83,303,81,0,465,5,2,40.0,3,60.0,234,935,463,8,10,0,12,6,311,5,Matches
Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-101,1992,1.8,54,45,52,2,0,0,54,0,0,,0,,27,119,51,0,0,0,0,0,21,0,Matches
Matthew Edwards,us USA,DF,Atlanta Utd,22-077,2003,4.8,320,8,110,154,56,7,320,3,2,66.7,1,33.3,173,620,243,2,6,1,4,0,204,21,Matches
Michael Edwards,us USA,DF,Colorado Rapids,24-159,2000,0.3,17,5,9,7,1,0,17,0,0,,0,,10,45,12,0,0,0,0,0,9,0,Matches
Raheem Edwards,ca CAN,DF,NY Red Bulls,29-294,1995,3.9,184,9,34,85,68,4,184,9,3,33.3,5,55.6,88,322,136,4,5,1,2,8,111,24,Matches
Noah Eile,se SWE,DF,NY Red Bulls,22-290,2002,10.5,875,90,353,449,85,15,875,10,4,40.0,5,50.0,497,2809,1671,15,21,1,6,5,557,7,Matches
Jack Elliott,eng ENG,DF,Chicago Fire,29-253,1995,10.0,685,162,465,202,21,15,685,0,0,,0,,354,1451,648,3,2,0,2,4,449,0,Matches
Emeka Eneli,us USA,MF,Real Salt Lake,25-199,1999,9.5,583,28,137,357,100,5,583,25,17,68.0,7,28.0,339,2002,1146,19,15,0,13,11,388,14,Matches
Lukas Engel,dk DEN,DF,FC Cincinnati,26-142,1998,10.3,746,39,211,369,170,24,746,15,6,40.0,9,60.0,331,1484,791,15,8,3,14,6,411,51,Matches
Boris Enow,cm CMR,MF,D.C. United,25-036,2000,5.6,327,6,58,219,56,2,327,4,3,75.0,1,25.0,171,647,257,4,6,1,5,8,215,4,Matches
Ramiro Enrique,ar ARG,"FW,MF",Orlando City,24-001,2001,2.3,79,4,7,36,37,7,79,5,1,20.0,4,80.0,30,115,45,1,1,0,9,1,52,16,Matches
Franco Escobar,ar ARG,DF,Houston Dynamo,30-073,1995,8.9,661,42,289,284,97,22,661,11,9,81.8,2,18.2,342,1480,638,9,6,2,15,5,415,17,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Cristian Espinoza,ar ARG,"DF,MF",SJ Earthquakes,30-032,1995,11.0,793,13,124,265,418,27,792,37,21,56.8,15,40.5,436,2636,1337,49,39,10,25,10,476,109,Matches
Derrick Etienne,ht HAI,FW,Toronto FC,28-161,1996,3.1,90,0,18,30,44,8,90,4,3,75.0,1,25.0,58,240,86,5,3,1,12,3,65,20,Matches
Evander,br BRA,"MF,FW",FC Cincinnati,26-330,1998,8.0,504,5,58,266,192,25,504,29,10,34.5,15,51.7,303,1725,932,28,21,6,26,10,374,35,Matches
Diego Fagúndez,uy URU,"FW,MF",LA Galaxy,30-080,1995,9.9,619,11,69,283,269,15,619,13,5,38.5,7,53.8,343,1884,804,18,18,5,14,6,466,46,Matches
Maximiliano Falcón,uy URU,DF,Inter Miami,28-004,1997,4.2,284,40,160,121,5,4,284,0,0,,0,,187,835,462,2,1,0,1,1,196,0,Matches
Marco Farfan,us USA,DF,FC Dallas,26-174,1998,5.2,338,25,104,155,81,9,338,6,2,33.3,3,50.0,129,634,310,12,3,2,7,2,190,16,Matches
Logan Farrington,us USA,FW,FC Dallas,23-142,2001,5.7,239,16,61,82,105,24,239,20,8,40.0,11,55.0,115,669,371,15,6,9,16,8,149,41,Matches
Mohamed Farsi,dz ALG,"DF,MF",Columbus Crew,25-140,1999,8.9,631,19,86,253,298,38,631,10,2,20.0,6,60.0,375,1524,739,25,16,12,14,6,449,99,Matches
Ilay Feingold,il ISR,"DF,FW",NE Revolution,20-255,2004,9.0,572,34,187,235,158,16,572,19,9,47.4,8,42.1,312,1784,1061,22,13,7,6,7,363,46,Matches
Joaquín Fernández,es ESP,DF,Sporting KC,28-339,1996,6.2,422,43,189,228,7,5,422,1,1,100.0,0,0.0,248,1062,513,3,0,0,2,0,293,0,Matches
Julián Fernández,ar ARG,"FW,MF",NYCFC,21-122,2004,5.6,291,5,46,115,138,25,291,20,6,30.0,14,70.0,156,948,544,23,12,8,15,2,187,56,Matches
Omir Fernandez,us USA,"MF,FW",Colorado Rapids,26-086,1999,2.0,88,1,12,19,58,12,88,6,1,16.7,4,66.7,57,369,219,10,4,5,4,6,59,18,Matches
Omir Fernandez,us USA,"MF,FW",Portland Timbers,26-086,1999,0.4,20,1,1,12,7,0,20,1,0,0.0,1,100.0,11,54,31,1,1,0,1,0,16,1,Matches
Jesús Ferreira,us USA,"FW,MF",Seattle Sounders,24-132,2000,7.3,357,3,32,152,174,29,357,6,1,16.7,5,83.3,173,709,315,10,10,2,15,5,265,58,Matches
Nicolas Fleuriau,ca CAN,"DF,FW",Vancouver W'caps,22-349,2002,0.1,8,0,0,4,4,2,8,1,1,100.0,0,0.0,3,7,1,0,0,0,0,1,4,3,Matches
Deybi Flores,hn HON,MF,Toronto FC,28-323,1996,7.7,474,44,157,270,58,6,474,2,0,0.0,2,100.0,233,997,431,4,6,1,8,1,262,3,Matches
Gilberto Flores,py PAR,DF,FC Cincinnati,22-034,2003,6.6,466,61,252,203,12,4,466,3,2,66.7,1,33.3,258,1175,553,1,1,0,6,2,303,0,Matches
Max Floriani,us USA,DF,SJ Earthquakes,22-088,2003,1.8,91,6,47,40,4,1,91,1,0,0.0,1,100.0,44,214,75,0,0,0,1,0,52,1,Matches
CJ Fodrey,us USA,"FW,MF",Austin,21-084,2004,0.7,38,0,8,19,15,6,38,2,1,50.0,1,50.0,14,118,66,1,3,1,2,4,20,6,Matches
Mamadou Fofana,ml MLI,DF,NE Revolution,27-104,1998,9.9,601,98,378,215,12,4,601,2,1,50.0,1,50.0,342,1555,757,0,0,0,5,2,388,0,Matches
Emil Forsberg,se SWE,MF,NY Red Bulls,33-194,1991,10.7,451,0,9,208,239,25,450,20,8,40.0,12,60.0,284,1381,566,8,19,1,13,13,346,58,Matches
Ajani Fortune,tt TRI,"MF,FW",Atlanta Utd,22-126,2002,4.0,270,9,60,136,76,9,270,8,6,75.0,1,12.5,163,747,364,8,8,1,3,0,194,18,Matches
Jimer Fory,co COL,"DF,MF",Portland Timbers,22-346,2002,8.6,581,41,202,291,91,5,581,8,6,75.0,2,25.0,309,1307,692,14,13,2,12,3,337,21,Matches
Kobe Franklin,ca CAN,DF,Toronto FC,21-360,2003,0.6,61,3,31,23,7,1,61,3,2,66.7,0,0.0,29,159,98,1,1,0,0,1,34,4,Matches
Ian Fray,us USA,DF,Inter Miami,22-247,2002,4.7,323,16,143,138,46,9,323,14,8,57.1,6,42.9,189,994,536,11,3,3,9,5,183,9,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Wayne Frederick,tt TRI,MF,Colorado Rapids,20-326,2004,1.5,87,12,26,49,13,4,87,1,0,0.0,1,100.0,31,132,32,2,1,2,4,0,46,4,Matches
Alexander Freeman,us USA,DF,Orlando City,20-269,2004,10.4,621,45,194,256,178,30,621,16,8,50.0,7,43.8,274,1216,656,17,15,4,11,10,356,58,Matches
Matt Freese,us USA,GK,NYCFC,26-245,1998,11.0,366,333,366,0,0,0,366,0,0,,0,,232,998,612,0,0,0,3,0,176,0,Matches
Stefan Frei,ch SUI,GK,Seattle Sounders,39-015,1986,10.0,294,251,292,2,0,0,294,0,0,,0,,143,817,355,0,0,0,0,0,122,0,Matches
Julian Gaines,us USA,FW,Nashville SC,22-181,2002,0.1,11,0,5,3,3,0,11,0,0,,0,,4,23,10,0,0,0,1,0,6,0,Matches
Jeffrey Gal,us USA,GK,Chicago Fire,32-029,1993,0.6,20,18,20,0,0,0,20,0,0,,0,,6,30,5,0,0,0,0,0,5,0,Matches
Jon Gallagher,ie IRL,DF,Austin,29-071,1996,8.4,468,42,145,200,128,8,468,7,5,71.4,2,28.6,249,1332,712,22,11,3,5,1,276,52,Matches
Pedro Gallese,pe PER,GK,Orlando City,35-071,1990,10.0,275,223,272,3,0,0,275,0,0,,0,,132,789,534,0,0,0,0,0,86,0,Matches
Ignatius Ganago,cm CMR,"FW,MF",NE Revolution,26-078,1999,9.3,305,13,47,129,133,51,305,18,6,33.3,8,44.4,186,1167,396,17,6,12,17,13,214,61,Matches
Carlos Garcés,co COL,DF,LA Galaxy,23-206,2001,7.6,626,51,276,331,19,3,626,6,3,50.0,3,50.0,400,1982,1005,3,6,1,11,3,449,1,Matches
Manu García,es ESP,MF,Sporting KC,27-123,1998,10.4,656,5,57,308,300,16,656,39,20,51.3,18,46.2,431,2035,844,22,24,3,21,16,504,30,Matches
Ryan Gauld,sct SCO,FW,Vancouver W'caps,29-140,1995,2.2,123,0,6,52,67,9,123,1,0,0.0,1,100.0,64,227,90,2,3,1,3,3,81,18,Matches
Dániel Gazdag,hu HUN,"MF,FW",Philadelphia Union,29-064,1996,5.5,269,1,23,148,101,20,269,10,1,10.0,9,90.0,164,740,297,6,10,1,7,5,203,31,Matches
Dániel Gazdag,hu HUN,"FW,MF",Columbus Crew,29-064,1996,2.5,170,0,13,66,91,8,170,4,1,25.0,3,75.0,114,461,227,5,4,1,1,3,150,22,Matches
Owen Géne,fr FRA,"MF,FW",Minnesota Utd,22-047,2003,1.1,56,3,17,28,12,1,56,5,3,60.0,2,40.0,20,68,32,1,0,0,2,1,31,4,Matches
Joran Gerbet,fr FRA,MF,Orlando City,23-309,2001,4.3,228,11,67,134,28,1,228,4,2,50.0,2,50.0,104,360,101,1,3,0,3,1,134,2,Matches
Carles Gil,es ESP,MF,NE Revolution,32-164,1992,10.0,694,2,54,360,290,21,692,42,21,50.0,18,42.9,457,3381,1509,45,38,5,16,13,514,32,Matches
Blake Gillingham,us USA,GK,Houston Dynamo,22-206,2002,3.3,112,94,112,0,0,0,112,0,0,,0,,57,252,173,0,0,0,0,0,55,0,Matches
Olivier Giroud,fr FRA,FW,LAFC,38-217,1986,4.6,169,8,15,97,57,23,169,2,0,0.0,1,50.0,62,218,78,2,2,1,19,1,111,35,Matches
Dennis Gjengaar,no NOR,"FW,MF",NY Red Bulls,21-070,2004,3.3,162,5,21,70,76,14,162,4,1,25.0,3,75.0,98,580,297,10,7,3,8,7,116,19,Matches
Justen Glad,us USA,DF,Real Salt Lake,28-066,1997,10.0,777,118,421,332,28,9,777,0,0,,0,,461,2118,1101,0,3,1,0,0,532,5,Matches
Omari Glasgow,gy GUY,"DF,FW",Chicago Fire,21-164,2003,5.3,301,10,79,119,105,10,301,12,2,16.7,10,83.3,174,897,404,9,3,3,10,7,184,38,Matches
Ian Glavinovich,ar ARG,DF,Philadelphia Union,23-190,2001,2.9,149,13,57,81,13,7,149,2,0,0.0,2,100.0,63,353,173,1,0,0,2,1,62,0,Matches
Jakob Glesnes,no NOR,DF,Philadelphia Union,31-041,1994,11.0,595,61,285,289,23,9,595,1,0,0.0,1,100.0,277,1499,878,6,4,1,6,2,297,0,Matches
Aníbal Godoy,pa PAN,MF,San Diego FC,35-084,1990,8.0,675,27,170,411,100,4,675,10,5,50.0,3,30.0,353,1657,709,10,11,0,7,4,555,7,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,32-309,1992,9.9,673,59,284,355,38,14,673,7,5,71.4,2,28.6,354,1429,754,7,3,1,6,1,398,2,Matches
Nicksoen Gomis,fr FRA,DF,Toronto FC,23-051,2002,5.3,261,27,131,117,15,4,261,3,0,0.0,3,100.0,154,756,357,2,1,0,4,3,166,0,Matches
Diogo Gonçalves,pt POR,"FW,MF",Real Salt Lake,28-088,1997,9.2,380,4,42,178,164,23,380,13,5,38.5,7,53.8,208,1196,615,17,13,3,11,7,245,37,Matches
Omar Gonzalez,us USA,"DF,MF",Chicago Fire,36-206,1988,0.8,46,9,30,14,2,2,46,0,0,,0,,26,73,13,0,0,0,0,0,27,1,Matches
Zavier Gozo,us USA,FW,Real Salt Lake,18-044,2007,2.9,132,3,26,45,62,8,132,9,1,11.1,8,88.9,68,367,188,10,5,4,7,2,74,25,Matches
Owen Graham Roache,ca CAN,FW,CF Montréal,17-083,2008,0.5,15,0,0,9,6,2,15,1,0,0.0,1,100.0,11,38,12,1,0,1,4,1,14,5,Matches
Tayvon Gray,jm JAM,DF,NYCFC,22-259,2002,2.4,182,13,72,89,24,3,182,1,1,100.0,0,0.0,72,306,184,1,1,1,2,1,98,7,Matches
Julian Gressel,us USA,MF,Minnesota Utd,31-140,1993,0.3,11,2,4,5,2,0,11,0,0,,0,,4,23,2,0,0,0,0,0,6,1,Matches
Yuri Guboglo,ht HAI,"DF,MF",CF Montréal,18-046,2007,5.1,254,10,71,110,74,10,254,23,11,47.8,12,52.2,145,810,435,15,8,6,6,2,153,31,Matches
Colin Guske,us USA,"FW,MF",Orlando City,18-096,2007,0.1,2,0,0,2,0,0,2,0,0,,0,,3,22,21,1,0,0,0,0,3,0,Matches
Brian Gutiérrez,us USA,MF,Chicago Fire,21-322,2003,6.1,376,5,61,200,121,19,375,22,10,45.5,11,50.0,212,1085,702,19,12,7,12,12,264,26,Matches
Andrew Gutman,us USA,DF,Chicago Fire,28-215,1996,9.7,582,56,252,214,119,12,582,11,2,18.2,8,72.7,263,943,504,12,7,1,8,3,319,40,Matches
Brad Guzan,us USA,GK,Atlanta Utd,40-238,1984,11.0,417,328,414,3,0,0,417,0,0,,0,,227,1080,658,0,0,0,0,0,193,0,Matches
Justin Haak,us USA,"DF,MF",NYCFC,23-235,2001,10.7,698,95,347,312,41,5,698,6,3,50.0,3,50.0,369,1755,854,4,5,1,13,9,446,5,Matches
Taha Habroune,us USA,"MF,FW",Columbus Crew,19-089,2006,0.4,30,1,9,12,10,0,30,3,1,33.3,2,66.7,15,66,25,0,1,0,3,0,19,1,Matches
Alexander Hack,de GER,DF,NY Red Bulls,31-239,1993,5.4,532,29,186,311,36,9,532,3,2,66.7,1,33.3,270,1263,785,5,5,0,2,0,332,0,Matches
Teenage Hadebe,zw ZIM,DF,FC Cincinnati,29-230,1995,3.3,280,16,140,135,8,2,280,0,0,,0,,164,758,194,0,2,0,4,0,165,2,Matches
Nick Hagglund,us USA,DF,FC Cincinnati,32-233,1992,5.5,379,54,216,147,16,2,379,0,0,,0,,179,778,399,3,0,0,3,0,256,1,Matches
Maren Haile-Selassie,ch SUI,"FW,MF",Chicago Fire,26-053,1999,1.8,86,0,15,35,39,4,86,5,1,20.0,4,80.0,47,276,171,3,5,0,4,1,59,11,Matches
Belal Halbouni,sy SYR,DF,Vancouver W'caps,25-127,1999,0.1,7,0,2,5,0,0,7,0,0,,0,,6,48,35,0,0,0,0,0,5,0,Matches
Julian Hall,us USA,"MF,FW",NY Red Bulls,17-042,2008,1.9,61,0,6,29,26,6,61,6,3,50.0,3,50.0,33,214,111,6,1,3,5,1,45,12,Matches
Bret Halsey,us USA,DF,FC Cincinnati,24-338,2000,0.4,27,2,12,12,5,0,27,3,2,66.7,1,33.3,11,91,61,1,1,0,0,1,12,1,Matches
Nicholas Hansen,dk DEN,GK,Colorado Rapids,23-299,2001,1.0,37,27,37,0,0,0,37,0,0,,0,,22,124,51,0,0,0,0,0,15,0,Matches
Ian Harkes,us USA,MF,SJ Earthquakes,30-036,1995,9.3,474,15,111,269,102,6,474,7,4,57.1,2,28.6,240,1168,495,7,10,1,20,5,296,14,Matches
Cameron Harper,us USA,"DF,FW",NY Red Bulls,23-167,2001,3.5,198,0,30,82,91,14,198,12,6,50.0,4,33.3,127,922,524,18,10,3,8,3,142,34,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Nathan Harriel,us USA,"DF,MF",Philadelphia Union,24-012,2001,6.5,351,22,106,178,68,11,351,7,3,42.9,3,42.9,150,682,288,3,0,0,8,4,155,13,Matches
Alex Harris,us USA,MF,Colorado Rapids,20-078,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,1,1,0,0,0,0,0,1,1,0,Matches
Calvin Harris,eng ENG,"FW,MF",Colorado Rapids,25-046,2000,1.6,70,5,10,23,37,9,70,1,0,0.0,0,0.0,40,397,164,9,6,2,4,3,41,8,Matches
Marcel Hartel,de GER,MF,St. Louis,29-106,1996,10.9,578,16,129,265,193,29,577,20,7,35.0,12,60.0,316,1403,592,13,6,4,10,5,385,43,Matches
Carlos Harvey,pa PAN,"DF,MF",Minnesota Utd,25-091,2000,5.2,254,31,124,90,44,17,254,14,8,57.1,4,28.6,96,502,245,7,1,3,8,3,112,6,Matches
Thomas Hasal,ca CAN,GK,LAFC,25-300,1999,1.0,36,34,36,0,0,0,36,0,0,,0,,22,109,70,0,0,0,0,0,15,0,Matches
Kobi Henry,us USA,"DF,FW",Real Salt Lake,21-009,2004,0.5,38,1,19,14,5,3,38,1,0,0.0,1,100.0,26,103,55,0,0,0,2,0,29,1,Matches
Fabian Herbers,de GER,"MF,FW",CF Montréal,31-261,1993,2.9,145,4,28,82,36,7,145,3,2,66.7,1,33.3,91,380,191,5,1,1,4,5,101,8,Matches
Ronald Hernández,ve VEN,"DF,FW",Atlanta Utd,27-226,1997,1.5,108,3,32,42,34,1,108,0,0,,0,,54,274,150,6,2,0,3,0,66,8,Matches
Aaron Herrera,gt GUA,"DF,MF",D.C. United,27-333,1997,9.7,656,29,181,295,188,12,656,17,8,47.1,8,47.1,332,1634,761,13,17,3,7,6,364,28,Matches
Marcelo Herrera,ar ARG,DF,Columbus Crew,26-183,1998,3.4,245,2,53,114,78,15,245,6,3,50.0,3,50.0,162,653,380,7,3,2,2,1,184,35,Matches
Kyle Hiebert,ca CAN,DF,St. Louis,27-279,1997,10.6,601,64,294,239,72,6,601,7,4,57.1,3,42.9,290,1299,652,5,4,1,8,7,343,12,Matches
Brendan Hines-Ike,us USA,DF,Austin,30-156,1994,10.0,632,105,351,271,12,2,632,3,3,100.0,0,0.0,405,1813,824,1,1,0,5,1,449,1,Matches
Bongokuhle Hlongwane,za RSA,DF,Minnesota Utd,24-319,2000,10.5,426,30,133,200,102,25,426,34,15,44.1,13,38.2,196,1115,627,16,16,6,17,12,212,36,Matches
Ryan Hollingshead,us USA,"DF,MF",LAFC,34-019,1991,8.0,630,36,168,296,173,25,630,12,8,66.7,3,25.0,355,1871,1138,24,21,3,11,4,412,46,Matches
Jannes Horn,de GER,DF,St. Louis,28-088,1997,7.2,424,28,192,164,69,1,424,5,1,20.0,2,40.0,227,1120,651,17,14,2,4,2,263,21,Matches
Jung Hoyeon,kr KOR,MF,Minnesota Utd,24-219,2000,0.2,7,0,2,4,1,0,7,0,0,,0,,4,19,15,1,0,0,0,1,5,0,Matches
Keegan Hughes,us USA,FW,NE Revolution,24-287,2000,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
