Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,TO_Att,TO_Succ,TO_Succ%,TO_Tkld,TO_Tkld%,Carries,TotDist,PrgDist,PrgC,Carry1/3,Carry_PA,Mis,Dis,Pass_Rec,Pass_PrgR
Conner Antley,us USA,"DF,MF",D.C. United,30-044,1995,0.8,51,4,25,22,4,3,51,1,1,100.0,0,0.0,28,136,75,2,0,2,2,0,28,1,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Antony,br BRA,"FW,MF",Portland Timbers,23-239,2001,9.9,503,18,92,219,209,30,503,56,21,37.5,34,60.7,322,2140,1010,30,25,11,26,15,350,85,Matches
Brian Anunga,cm CMR,MF,FC Cincinnati,28-268,1996,7.0,401,16,91,257,57,3,401,4,3,75.0,1,25.0,170,666,233,2,4,0,6,1,238,1,Matches
Chris Applewhite,us USA,DF,Nashville SC,17-255,2007,0.2,23,7,14,9,0,0,23,0,0,,0,,9,44,15,0,0,0,0,0,13,0,Matches
Cristian Arango,co COL,"MF,FW",SJ Earthquakes,30-057,1995,10.8,448,11,36,209,205,65,446,31,8,25.8,22,71.0,265,1383,663,17,15,11,27,18,330,67,Matches
César Araujo,uy URU,MF,Orlando City,24-033,2001,6.0,366,12,87,229,53,8,366,3,1,33.3,2,66.7,203,669,314,2,6,0,5,4,265,9,Matches
Maximilian Arfsten,us USA,"MF,DF",Columbus Crew,24-016,2001,10.0,596,9,93,233,278,38,596,27,14,51.9,12,44.4,364,1805,947,32,13,11,12,15,431,87,Matches
Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-072,1995,4.6,149,9,14,51,84,29,147,3,1,33.3,2,66.7,84,263,92,4,2,3,11,5,115,34,Matches
Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-089,1995,0.8,45,0,3,18,25,5,45,1,1,100.0,0,0.0,32,183,76,2,1,0,0,2,38,17,Matches
Artur,br BRA,MF,Houston Dynamo,29-055,1996,11.0,785,36,229,458,107,1,785,16,10,62.5,5,31.3,449,2028,829,10,9,1,7,9,539,7,Matches
Joshua Atencio,us USA,MF,Colorado Rapids,23-094,2002,8.4,550,18,123,329,109,7,550,5,5,100.0,0,0.0,284,1364,624,8,15,0,11,6,334,14,Matches
Eduard Atuesta,co COL,MF,Orlando City,27-321,1997,6.8,464,16,102,257,109,8,464,16,6,37.5,9,56.3,257,1045,500,4,7,3,14,4,339,20,Matches
Julián Aude,ar ARG,DF,LA Galaxy,22-042,2003,5.6,477,17,120,255,104,6,477,18,9,50.0,8,44.4,232,1030,595,10,8,1,10,0,334,27,Matches
Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-091,2004,4.6,338,26,146,184,10,1,338,1,0,0.0,1,100.0,222,1130,656,4,1,0,4,1,247,0,Matches
Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-124,1997,10.7,633,83,309,301,26,16,633,4,4,100.0,0,0.0,327,1554,781,3,3,0,7,2,372,2,Matches
Obafemi Awodesu,us USA,DF,Houston Dynamo,24-030,2001,11.0,812,123,516,286,14,5,812,4,4,100.0,0,0.0,476,2209,1182,0,1,0,3,2,558,2,Matches
David Ayala,ar ARG,MF,Portland Timbers,22-283,2002,9.5,670,30,186,398,92,14,670,10,5,50.0,3,30.0,407,1513,595,1,5,0,7,6,465,5,Matches
Dominique Badji,sn SEN,"FW,MF",D.C. United,32-201,1992,3.6,121,3,6,44,72,12,121,3,1,33.3,1,33.3,68,347,136,6,3,2,7,4,94,25,Matches
Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-055,2006,1.4,72,2,12,38,22,3,72,5,3,60.0,2,40.0,39,168,77,3,3,0,5,0,44,7,Matches
Corey Baird,us USA,"FW,MF",FC Cincinnati,29-095,1996,3.3,163,4,17,76,70,16,163,3,1,33.3,2,66.7,90,453,238,12,7,4,3,4,117,24,Matches
