Player,Nation,Pos,Squad,Age,Born,90s,Tkl_attempted,TklW,Tkl_Def,Tkl_Mid,Tkl_Att,Drib_Tkl,Drib_chal,Drib_Tkl%,Chal_Lost,Blocks,Shots_blocked,Pass_blocked,Interceptions,Tkl+Int,Clr,Err_shot,Matches
Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,31-078,1994,10.8,10,7,4,5,1,2,6,33.3,4,5,1,4,2,12,7,1,Matches
Miguel Berry,es ESP,FW,LA Galaxy,27-231,1997,3.8,1,1,0,1,0,0,0,,0,0,0,0,2,3,3,0,Matches
Pep Biel,es ESP,"FW,MF",Charlotte,28-242,1996,8.5,4,3,1,2,1,2,7,28.6,5,7,0,7,6,10,4,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Guilherme Biro,br BRA,DF,Austin,25-004,2000,10.1,17,10,11,3,3,12,17,70.6,5,19,7,12,17,34,32,0,Matches
Tristan Blackmon,us USA,DF,Vancouver W'caps,28-266,1996,9.1,7,1,3,3,1,3,3,100.0,0,10,6,4,16,23,51,2,Matches
Andre Blake,jm JAM,GK,Philadelphia Union,34-165,1990,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
Emmanuel Boateng,gh GHA,FW,San Diego FC,31-108,1994,0.8,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
Wiktor Bogacz,pl POL,"DF,FW",NY Red Bulls,20-295,2004,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Luca Bombino,us USA,DF,San Diego FC,18-299,2006,3.5,10,6,5,4,1,4,6,66.7,2,1,0,1,3,13,9,0,Matches
Jonathan Bond,eng ENG,GK,Houston Dynamo,31-351,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Denis Bouanga,ga GAB,FW,LAFC,30-175,1994,9.4,6,3,1,3,2,3,11,27.3,8,4,0,4,1,7,4,0,Matches
Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,25-007,2000,4.7,5,3,1,1,3,3,8,37.5,5,4,0,4,4,9,1,0,Matches
Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,20-175,2004,1.3,1,1,0,1,0,1,3,33.3,2,2,1,1,1,2,3,0,Matches
Michael Boxall,nz NZL,DF,Minnesota Utd,36-260,1988,9.0,6,3,5,0,1,5,5,100.0,0,7,4,3,12,18,69,0,Matches
Christopher Brady,us USA,GK,Chicago Fire,21-063,2004,10.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,Matches
Claudio Bravo,ar ARG,DF,Portland Timbers,28-053,1997,1.4,5,4,2,3,0,2,4,50.0,2,6,0,6,1,6,8,0,Matches
David Brekalo,si SVN,DF,Orlando City,26-153,1998,6.4,14,7,8,4,2,9,13,69.2,4,8,2,6,4,18,35,0,Matches
Luke Brennan,us USA,FW,Atlanta Utd,20-070,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sebastian Breza,ca CAN,GK,CF Montréal,27-051,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Yannick Bright,it ITA,MF,Inter Miami,23-244,2001,5.7,30,20,18,11,1,12,20,60.0,8,16,4,12,12,42,17,0,Matches
Andrew Brody,us USA,DF,Sporting KC,30-002,1995,0.9,3,3,2,1,0,1,1,100.0,0,1,0,1,0,3,3,0,Matches
Brandt Bronico,us USA,MF,Charlotte,29-319,1995,9.2,13,11,6,7,0,5,14,35.7,9,12,6,6,11,24,16,0,Matches
Lachlan Brook,au AUS,FW,Real Salt Lake,24-086,2001,1.1,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
Javain Brown,jm JAM,DF,Real Salt Lake,26-057,1999,2.2,6,4,2,3,1,2,3,66.7,1,0,0,0,1,7,8,0,Matches
Tristan Brown,us USA,DF,Columbus Crew,17-200,2007,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Gastón Brugman,uy URU,MF,Nashville SC,32-240,1992,4.0,9,4,6,3,0,3,10,30.0,7,8,1,7,10,19,5,1,Matches
Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,26-008,1999,2.7,2,2,0,1,1,0,1,0.0,1,1,1,0,0,2,2,0,Matches
Pavel Bucha,cz CZE,MF,FC Cincinnati,27-055,1998,9.4,16,8,8,6,2,11,15,73.3,4,10,1,9,12,28,13,1,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Noel Buck,eng ENG,"MF,DF",NE Revolution,20-030,2005,0.3,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,1,0,Matches
Noel Buck,eng ENG,MF,SJ Earthquakes,20-030,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Dawid Bugaj,pl POL,DF,CF Montréal,20-300,2004,2.5,5,2,4,1,0,2,5,40.0,3,0,0,0,3,8,2,0,Matches
Osman Bukari,gh GHA,"MF,FW",Austin,26-143,1998,8.2,11,7,4,6,1,3,11,27.3,8,6,0,6,2,13,10,0,Matches
Teal Bunbury,us USA,"FW,MF",Nashville SC,35-067,1990,0.6,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Roman Bürki,ch SUI,GK,St. Louis,34-172,1990,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Evan Bush,us USA,GK,Columbus Crew,39-060,1986,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sergio Busquets,es ESP,MF,Inter Miami,36-293,1988,8.9,21,14,6,15,0,13,22,59.1,9,11,2,9,11,32,13,1,Matches
Brandon Bye,us USA,DF,NE Revolution,29-157,1995,3.1,7,2,6,0,1,5,8,62.5,3,7,4,3,2,9,15,1,Matches
Nathan Byrne,eng ENG,DF,Charlotte,32-334,1992,8.0,14,10,10,3,1,10,17,58.8,7,6,3,3,4,18,31,0,Matches
Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,25-299,1999,6.3,9,5,1,3,5,3,7,42.9,4,9,1,8,3,12,4,0,Matches
Rafael Cabral,br BRA,GK,Real Salt Lake,34-350,1990,11.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,6,0,Matches
Noel Caliskan,de GER,"DF,MF",Real Salt Lake,24-249,2000,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
Drake Callender,us USA,GK,Inter Miami,27-210,1997,2.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Leonardo Campana,ec ECU,FW,NE Revolution,24-285,2000,4.9,7,5,2,4,1,2,8,25.0,6,8,1,7,1,8,9,0,Matches
George Campbell,us USA,DF,CF Montréal,23-317,2001,8.9,19,13,11,8,0,10,12,83.3,2,11,7,4,14,33,43,2,Matches
Reggie Cannon,us USA,DF,Colorado Rapids,26-328,1998,7.3,11,7,5,5,1,5,7,71.4,2,7,3,4,19,30,17,0,Matches
Gustavo Caraballo,us USA,"MF,FW",Orlando City,16-249,2008,0.2,1,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,Matches
Felipe Carballo,uy URU,MF,NY Red Bulls,28-213,1996,5.9,16,10,8,5,3,7,18,38.9,11,11,2,9,8,24,9,0,Matches
Wikelman Carmona,ve VEN,"FW,MF",NY Red Bulls,22-070,2003,4.9,7,5,1,3,3,3,3,100.0,0,12,0,12,3,10,3,1,Matches
Maximo Carrizo,us USA,FW,NYCFC,17-066,2008,0.2,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,0,0,Matches
Julio Cascante,cr CRC,DF,Austin,31-214,1993,3.5,1,1,1,0,0,0,1,0.0,1,6,6,0,3,4,15,0,Matches
Nico Cavallo,us USA,"DF,MF",NYCFC,23-129,2001,1.4,10,7,9,1,0,5,8,62.5,3,2,0,2,2,12,5,0,Matches
Brayan Ceballos,co COL,DF,NE Revolution,23-346,2001,9.0,19,11,13,6,0,7,11,63.6,4,14,8,6,13,32,66,0,Matches
Roman Celentano,us USA,GK,FC Cincinnati,24-233,2000,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Edwin Cerrillo,us USA,MF,LA Galaxy,24-214,2000,9.6,10,6,3,6,1,6,9,66.7,3,10,1,9,5,15,7,0,Matches
Dylan Chambost,fr FRA,"MF,FW",Columbus Crew,27-259,1997,10.8,14,11,4,7,3,4,14,28.6,10,14,3,11,14,28,11,1,Matches
Tomás Chancalay,ar ARG,FW,NE Revolution,26-124,1999,0.8,2,1,0,2,0,0,0,,0,1,0,1,0,2,1,0,Matches
Maxime Chanot,lu LUX,DF,LAFC,35-165,1989,0.7,2,2,1,1,0,1,1,100.0,0,2,2,0,3,5,7,0,Matches
Diego Chará,co COL,MF,Portland Timbers,39-030,1986,6.9,19,15,9,7,3,7,13,53.8,6,7,5,2,11,30,17,1,Matches
Gabriel Chaves,br BRA,"FW,MF",LA Galaxy,24-083,2001,9.8,8,5,2,4,2,3,14,21.4,11,4,0,4,5,13,2,0,Matches
Yevhen Cheberko,ua UKR,DF,Columbus Crew,27-102,1998,8.5,14,12,7,7,0,8,9,88.9,1,12,8,4,9,23,28,0,Matches
Ștefan Chirilă,ro ROU,MF,FC Cincinnati,18-110,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Dominik Chong Qui,us USA,DF,Atlanta Utd,17-127,2007,0.7,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,1,Matches
Léo Chú,br BRA,"FW,MF",FC Dallas,25-029,2000,2.3,0,0,0,0,0,0,3,0.0,3,1,0,1,2,2,1,0,Matches
Markus Cimermancic,ca CAN,"DF,MF",Toronto FC,20-216,2004,2.4,11,10,5,5,1,5,6,83.3,1,4,1,3,1,12,6,0,Matches
Caden Clark,us USA,"FW,MF",CF Montréal,21-343,2003,7.6,16,9,6,7,3,6,10,60.0,4,7,0,7,4,20,4,1,Matches
Noah Cobb,us USA,"DF,FW",Atlanta Utd,19-289,2005,2.8,5,3,3,2,0,3,4,75.0,1,1,1,0,3,8,7,2,Matches
Alonso Coello,es ESP,MF,Toronto FC,25-205,1999,6.0,20,8,8,11,1,9,15,60.0,6,11,1,10,8,28,12,0,Matches
Michael Collodi,us USA,GK,FC Dallas,23-345,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Theo Corbeanu,ca CAN,"FW,MF",Toronto FC,22-353,2002,6.6,5,0,0,3,2,2,8,25.0,6,7,1,6,1,6,6,0,Matches
Matthew Corcoran,us USA,MF,Nashville SC,19-077,2006,1.6,6,3,4,2,0,3,4,75.0,1,1,0,1,2,8,1,0,Matches
Carlos Coronel,py PAR,GK,NY Red Bulls,28-127,1996,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,0,Matches
David Costa,pt POR,"MF,FW",Portland Timbers,24-120,2001,10.3,5,3,2,3,0,1,9,11.1,8,5,0,5,3,8,4,0,Matches
Vitor Costa,br BRA,DF,SJ Earthquakes,30-308,1994,4.8,12,7,5,4,3,5,12,41.7,7,9,1,8,7,19,24,0,Matches
Brandan Craig,us USA,DF,CF Montréal,21-028,2004,1.2,4,2,0,4,0,1,2,50.0,1,1,1,0,0,4,6,0,Matches
Ben Cremaschi,us USA,"MF,FW",Inter Miami,20-064,2005,6.5,11,4,2,8,1,4,12,33.3,8,9,1,8,6,17,3,0,Matches
Maxime Crépeau,ca CAN,GK,Portland Timbers,30-359,1994,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Andrés Cubas,py PAR,MF,Vancouver W'caps,28-348,1996,7.9,19,15,8,7,4,6,12,50.0,6,10,3,7,14,33,13,0,Matches
Mauricio Cuevas,us USA,"MF,DF",LA Galaxy,22-084,2003,0.3,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,1,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Christopher Cupps,us USA,DF,Chicago Fire,16-344,2008,1.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,Matches
Hugo Cuypers,be BEL,FW,Chicago Fire,28-087,1997,9.9,13,10,3,8,2,5,10,50.0,5,16,0,16,5,18,10,0,Matches
Bruno Damiani,uy URU,FW,Philadelphia Union,23-017,2002,5.3,5,3,1,4,0,0,1,0.0,1,8,0,8,5,10,7,0,Matches
Dagur Dan Þórhallsson,is ISL,"MF,DF",Orlando City,25-003,2000,4.4,10,8,8,1,1,4,8,50.0,4,7,5,2,1,11,15,0,Matches
Daniel,br BRA,GK,SJ Earthquakes,30-364,1994,9.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,2,Matches
Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,26-020,1999,0.9,3,1,1,1,1,0,2,0.0,2,1,0,1,0,3,0,0,Matches
Héctor David Martínez,py PAR,"DF,FW",Inter Miami,27-104,1998,1.1,3,1,3,0,0,1,3,33.3,2,1,0,1,1,4,10,0,Matches
Juan David Mosquera,co COL,DF,Portland Timbers,22-242,2002,5.8,2,2,2,0,0,1,10,10.0,9,7,0,7,2,4,18,0,Matches
Bode Davis,us USA,DF,Real Salt Lake,23-072,2002,5.8,12,6,8,4,0,6,14,42.9,8,7,4,3,6,18,20,1,Matches
Jake Davis,us USA,"DF,MF",Sporting KC,23-122,2002,8.0,24,14,11,8,5,10,26,38.5,16,10,1,9,9,33,19,0,Matches
Pedro De la Vega,ar ARG,"MF,FW",Seattle Sounders,24-087,2001,3.9,7,3,2,5,0,3,8,37.5,5,5,1,4,3,10,0,0,Matches
Osaze De Rosario,gy GUY,FW,Seattle Sounders,23-290,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jonathan Dean,us USA,DF,Chicago Fire,27-355,1997,4.3,7,2,3,2,2,2,2,100.0,0,9,4,5,8,15,15,0,Matches
Marky Delgado,us USA,MF,LAFC,29-354,1995,8.2,16,12,4,10,2,9,19,47.4,10,8,2,6,10,26,13,0,Matches
Patrickson Delgado,ec ECU,"FW,MF",FC Dallas,21-200,2003,3.3,8,6,4,3,1,2,6,33.3,4,2,0,2,1,9,4,0,Matches
Kévin Denkey,tg TOG,FW,FC Cincinnati,24-156,2000,9.2,7,4,0,4,3,1,6,16.7,5,2,1,1,2,9,6,0,Matches
Mikkel Desler,dk DEN,DF,Austin,30-075,1995,2.6,4,1,4,0,0,2,5,40.0,3,4,0,4,1,5,12,0,Matches
Djibril Diani,fr FRA,MF,Charlotte,27-083,1998,2.4,11,7,5,5,1,2,6,33.3,4,5,1,4,9,20,5,0,Matches
Jefferson Díaz,co COL,DF,Minnesota Utd,24-151,2000,6.7,8,5,3,3,2,5,9,55.6,4,12,5,7,5,13,32,1,Matches
Luis Díaz,cr CRC,"FW,MF",NE Revolution,26-150,1998,1.0,5,1,1,3,1,0,1,0.0,1,0,0,0,2,7,0,0,Matches
Hamady Diop,sn SEN,DF,San Diego FC,22-333,2002,2.2,2,2,0,1,1,1,4,25.0,3,3,1,2,1,3,8,0,Matches
Innocent Dje,ci CIV,MF,Chicago Fire,22-000,2003,1.1,10,5,6,3,1,4,8,50.0,4,0,0,0,2,12,1,0,Matches
Derek Dodson,us USA,"DF,MF",D.C. United,26-183,1998,2.0,9,5,4,4,1,6,8,75.0,2,1,0,1,3,12,7,0,Matches
Maxime Dominguez,ch SUI,MF,Toronto FC,29-093,1996,1.4,5,4,1,3,1,4,6,66.7,2,2,0,2,2,7,1,0,Matches
Ronald Donkor,ml MLI,MF,NY Red Bulls,20-166,2004,1.1,6,5,3,2,1,2,6,33.3,4,2,0,2,5,11,0,0,Matches
