,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
57,56,Sam Bassett,us USA,MF,Colorado Rapids,22-010,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,57,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-147,1997,8.4,19,2.27,15,1,0,1,2,0,1,0.12,0,0,0,1,0,0,Matches
59,58,Zorhan Bassong,ca CAN,MF,Sporting KC,25-351,1999,2.8,3,1.06,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,59,Andy Batioja,co COL,FW,Houston Dynamo,19-082,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,60,Josh Bauer,us USA,DF,Nashville SC,26-275,1998,2.4,6,2.56,6,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
62,61,Timo Baumgartl,de GER,DF,St. Louis,29-050,1996,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,62,Tanner Beason,us USA,DF,NE Revolution,28-031,1997,2.6,2,0.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,63,Adam Beaudry,us USA,GK,Colorado Rapids,19-005,2006,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,64,Simon Becher,us USA,"FW,MF",St. Louis,25-277,1999,4.6,14,3.07,9,0,1,2,1,1,1,0.22,1,0,0,0,0,0,Matches
66,65,Alejandro Bedoya,us USA,"MF,FW",Philadelphia Union,37-359,1987,0.8,3,3.97,3,0,0,0,0,0,1,1.32,1,0,0,0,0,0,Matches
67,66,Jon Bell,jm JAM,DF,Seattle Sounders,27-240,1997,4.0,5,1.24,5,0,0,0,0,0,2,0.49,2,0,0,0,0,0,Matches
68,67,Ramiro Benetti,br BRA,MF,FC Dallas,31-336,1993,8.1,8,0.98,6,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
69,68,Christian Benteke,be BEL,FW,D.C. United,34-141,1990,8.2,18,2.20,11,0,0,7,0,0,1,0.12,1,0,0,0,0,0,Matches
70,69,Sebastian Berhalter,us USA,MF,Vancouver W'caps,23-341,2001,7.5,33,4.38,17,14,0,1,0,1,1,0.13,1,0,0,0,0,0,Matches
71,70,Federico Bernardeschi,it ITA,FW,Toronto FC,31-066,1994,9.0,26,2.89,21,3,0,1,1,0,3,0.33,2,1,0,0,0,0,Matches
72,71,Miguel Berry,es ESP,FW,LA Galaxy,27-219,1997,3.5,6,1.72,6,0,0,0,0,0,2,0.57,2,0,0,0,0,0,Matches
73,72,Pep Biel,es ESP,"FW,MF",Charlotte,28-230,1996,7.8,28,3.58,22,4,1,1,0,0,7,0.90,5,1,1,0,0,0,Matches
74,73,Guilherme Biro,br BRA,DF,Austin,24-357,2000,8.4,19,2.25,16,2,1,0,0,0,1,0.12,1,0,0,0,0,0,Matches
75,74,Tristan Blackmon,us USA,DF,Vancouver W'caps,28-254,1996,8.0,9,1.13,7,2,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
76,75,Andre Blake,jm JAM,GK,Philadelphia Union,34-153,1990,7.0,1,0.14,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
78,76,Emmanuel Boateng,gh GHA,FW,San Diego FC,31-096,1994,0.8,3,3.60,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,77,Wiktor Bogacz,pl POL,"DF,FW",NY Red Bulls,20-283,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,78,Luca Bombino,us USA,DF,San Diego FC,18-287,2006,1.9,3,1.56,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,79,Jonathan Bond,eng ENG,GK,Houston Dynamo,31-339,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,80,Denis Bouanga,ga GAB,FW,LAFC,30-163,1994,7.4,32,4.35,14,2,6,6,3,1,6,0.82,3,0,0,2,1,0,Matches
83,81,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,24-360,2000,3.4,10,2.95,6,0,0,1,2,1,1,0.30,1,0,0,0,0,0,Matches
84,82,Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,20-163,2004,0.3,1,3.60,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
85,83,Michael Boxall,nz NZL,DF,Minnesota Utd,36-248,1988,7.0,6,0.86,6,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
86,84,Christopher Brady,us USA,GK,Chicago Fire,21-051,2004,9.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,85,Claudio Bravo,ar ARG,DF,Portland Timbers,28-041,1997,0.5,2,3.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,86,David Brekalo,si SVN,DF,Orlando City,26-141,1998,4.4,5,1.14,3,0,0,1,0,1,1,0.23,1,0,0,0,0,0,Matches
89,87,Yannick Bright,it ITA,MF,Inter Miami,23-232,2001,4.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,88,Andrew Brody,us USA,DF,Sporting KC,29-355,1995,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
